DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2019-04-26,EQ,306.9,313.5,306.6,306.2,311.9,312.5,310.08,339.65,232.5,14987906,4647450577.6,101049,SBIN
2019-04-25,EQ,311.0,312.0,305.4,310.75,306.5,306.2,307.6,339.65,232.5,30842477,9487109728.0,112779,SBIN
2019-04-24,EQ,305.85,311.95,303.6,305.25,310.75,310.75,306.84,339.65,232.5,15228591,4672690328.65,100240,SBIN
2019-04-23,EQ,310.05,313.75,304.6,310.05,305.45,305.25,309.75,339.65,232.5,17324274,5366272066.85,154431,SBIN
2019-04-22,EQ,308.8,312.3,306.35,310.8,309.9,310.05,309.37,339.65,232.5,15665440,4846406250.65,122903,SBIN
2019-04-18,EQ,315.8,315.8,308.05,315.75,310.2,310.8,310.88,339.65,232.5,15691168,4878068515.6,104414,SBIN
2019-04-16,EQ,316.6,319.4,314.7,315.6,315.65,315.75,316.8,339.65,232.5,14940726,4733230521.5,121950,SBIN
2019-04-15,EQ,315.5,318.7,313.75,315.25,315.9,315.6,316.65,339.65,232.5,13864791,4390314052.15,90118,SBIN
2019-04-12,EQ,314.6,316.4,311.2,314.9,314.5,315.25,313.85,339.65,232.5,14751964,4629839174.65,93648,SBIN
2019-04-11,EQ,311.0,315.4,308.7,310.9,315.4,314.9,312.15,339.65,232.5,14897935,4650359814.4,128498,SBIN
2019-04-10,EQ,314.85,317.05,310.0,314.75,310.7,310.9,313.54,339.65,232.5,19237974,6031855790.25,141121,SBIN
2019-04-09,EQ,313.95,315.7,308.1,312.8,314.6,314.75,311.8,339.65,232.5,25556039,7968385312.1,183556,SBIN
2019-04-08,EQ,318.25,319.25,311.1,317.05,312.75,312.8,314.81,339.65,232.5,17394139,5475884001.9,133027,SBIN
2019-04-05,EQ,323.7,323.7,315.0,321.8,317.7,317.05,317.84,339.65,232.5,23117232,7347579599.95,155709,SBIN
2019-04-04,EQ,321.5,325.75,318.3,320.5,322.3,321.8,321.68,339.65,232.5,27832294,8953012535.75,198067,SBIN
2019-04-03,EQ,331.0,332.45,319.5,329.0,321.1,320.5,326.0,339.65,232.5,30552104,9959892558.1,190240,SBIN
2019-04-02,EQ,323.65,331.0,322.1,322.75,330.9,329.0,327.03,339.65,232.5,27897583,9123416379.0,190698,SBIN
