DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2019-01-21,EQ,230.45,231.25,228.15,230.0,228.2,229.0,229.66,316.95,228.15,1904575,437396558.0,29581,COALINDIA
2019-01-18,EQ,232.15,232.55,229.6,232.05,229.8,230.0,230.35,316.95,228.35,2944908,678361631.85,37955,COALINDIA
2019-01-17,EQ,232.75,232.75,230.4,232.05,231.85,232.05,231.75,316.95,228.35,3220136,746259057.3,29862,COALINDIA
2019-01-16,EQ,232.8,233.4,231.55,232.65,232.1,232.05,232.22,316.95,228.35,2050899,476250387.8,27212,COALINDIA
2019-01-15,EQ,231.5,233.6,231.05,230.9,232.7,232.65,232.6,316.95,228.35,2323323,540408144.0,31677,COALINDIA
2019-01-14,EQ,232.4,232.5,229.05,232.25,231.05,230.9,230.36,316.95,228.35,2273231,523668065.15,20692,COALINDIA
2019-01-11,EQ,233.7,233.75,231.5,233.0,232.0,232.25,232.72,316.95,228.35,2446815,569434920.35,20771,COALINDIA
2019-01-10,EQ,233.8,233.95,232.05,232.65,233.0,233.0,233.11,316.95,228.35,2292058,534302194.95,42875,COALINDIA
2019-01-09,EQ,234.2,234.85,231.8,233.3,232.45,232.65,233.2,316.95,228.35,2954253,688943797.2,43534,COALINDIA
2019-01-08,EQ,234.5,235.15,232.15,234.5,233.1,233.3,233.89,316.95,228.35,4206563,983878139.95,25409,COALINDIA
2019-01-07,EQ,238.0,238.0,233.5,236.5,234.1,234.5,235.28,316.95,228.35,7347326,1728711158.95,55943,COALINDIA
2019-01-04,EQ,234.1,237.7,233.75,235.0,236.25,236.5,235.58,316.95,228.35,2885669,679818086.05,40827,COALINDIA
2019-01-03,EQ,238.7,238.7,233.2,236.7,235.05,235.0,234.81,316.95,228.35,5664136,1329967669.6,88451,COALINDIA
2019-01-02,EQ,240.9,241.45,236.05,241.5,236.45,236.7,238.32,316.95,228.35,3897893,928961091.65,35902,COALINDIA
2019-01-01,EQ,241.0,242.45,240.25,240.75,242.0,241.5,241.1,316.95,228.35,2227003,536938814.65,18131,COALINDIA
